"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3083","Storefront Keyword Lookup: Jeans","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1843","Check Catalog Route Redirection Check","webkit","2026-06-06","passed","2026-06-06","","","",""
"","6381","Check Route Navigation to Auth Form from Header Link","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5563","Check Contact Us Link Visibility in Delivery context","chromium","2026-06-06","passed","2026-06-06","","","",""
"","1943","Check Modal Continue Shopping Action Visibility","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5678","Verify Fresh Basket Has No Items Listed","chromium","2026-06-06","passed","2026-06-06","","","",""
"","1534","Complete Help Request Submission and Verify Success","firefox","2026-06-06","passed","2026-06-06","","","",""
"","7857","Verify Basket Contents Survive Page Navigation","webkit","2026-06-06","passed","2026-06-06","","","",""
"","511","Confirm Products Endpoint Responds with HTTP 200","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5409","Ensure Contact Us Hyperlink Appears on Auth Screen","webkit","2026-06-06","passed","2026-06-06","","","",""
"","9556","Confirm Navigation Menu Renders on Payment Gateway View","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5855","Check Catalog Navigation Header Link in Auth view","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1226","Check Catalog Navigation Header Link in Delivery Context","firefox","2026-06-06","passed","2026-06-06","","","",""
"","2457","Check Details Page Price visibility","firefox","2026-06-06","passed","2026-06-06","","","",""
"","6017","Verify Fresh Basket Has No Items Listed","webkit","2026-06-06","passed","2026-06-06","","","",""
"","359","Fetch Brands Catalog and Validate Payload","firefox","2026-06-06","passed","2026-06-06","","","",""
"","1693","Registration Attempt for: Duplicate Test","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1755","Check Detail Page URL Route Structure","firefox","2026-06-06","passed","2026-06-06","","","",""
"","613","Confirm API Testing Hyperlink Present on Basket Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","1026","Confirm Name Input Renders on Help Desk Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","1448","Sign-In Workflow for Account: missing.pwd.field@outlook.com","firefox","2026-06-06","passed","2026-06-06","","","",""
"","2619","Query Catalog with Nonexistent Product Name","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5617","Check Signup Form Header Banner Visibility on login view","webkit","2026-06-06","passed","2026-06-06","","","",""
"","2057","Check Brand Label inside Product Details Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5712","Confirm Footer Section on Delivery Page inside Delivery layout","webkit","2026-06-06","passed","2026-06-06","","","",""
"","6592","Registration Attempt for: Abhishek Das","webkit","2026-06-06","passed","2026-06-06","","","",""
"","584","Check Subscription Footer Area Visibility inside Auth View","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5830","Confirm Page Footer Renders on Basket View","chromium","2026-06-06","passed","2026-06-06","","","",""
"","685","Confirm Get In Touch Title Renders on Help Desk","firefox","2026-06-06","passed","2026-06-06","","","",""
"","812","Registration Attempt for: Bad Format Check","chromium","2026-06-06","passed","2026-06-06","","","",""
"","625","Verify Basket Icon Renders in Header Navigation","chromium","2026-06-06","passed","2026-06-06","","","",""
"","6846","Confirm Cart Section Renders on Payment Gateway View","firefox","2026-06-06","passed","2026-06-06","","","",""
"","1895","Sign-In Workflow for Account: Blank Email","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5587","Ensure New User Registration Heading Renders","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1209","Confirm Footer Renders on Profile View inside Auth Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","3648","Query Catalog with Nonexistent Product Name","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5999","Confirm API Testing Hyperlink Present on Basket Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","6496","Place First Listed Item into Shopping Basket","chromium","2026-06-06","passed","2026-06-06","","","",""
"","6520","Sign-In Workflow for Account: random.fake.addr@hotmail.com","webkit","2026-06-06","passed","2026-06-06","","","",""
"","6038","Check Catalog Navigation Header Link in Delivery Context","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1439","Sign-In Workflow for Account: Blank Email","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5488","Verify Basket Page Accessible Without Authentication","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5610","Check URL Route For Login / Registration Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5826","Confirm Auth Page Document Title Matches Expected","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1289","Sign-In Workflow for Account: abhis.capstone.tester@gmail.com","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1879","Registration Attempt for: Blank Name","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5406","Confirm Submit Action Button Renders on Help Desk Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5662","Ensure Newsletter Subscription Section Renders on Auth Screen","webkit","2026-06-06","passed","2026-06-06","","","",""
"","7293","Verify Item Quantity Defaults to One After Adding","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5383","Confirm Footer Section Renders on Help Desk Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","402","Fetch Brands Catalog and Validate Payload","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5675","Confirm Subject Line Input Renders on Help Desk Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","2278","Storefront Keyword Lookup: Polo","firefox","2026-06-06","passed","2026-06-06","","","",""
"","2396","Registration Attempt for: Duplicate Test","firefox","2026-06-06","passed","2026-06-06","","","",""
"","3129","Confirm Item Detail Page Renders Successfully","chromium","2026-06-06","passed","2026-06-06","","","",""
"","2243","Verify Item Disappears After Basket Removal Action","chromium","2026-06-06","passed","2026-06-06","","","",""
"","826","Ensure Login Section Heading Renders on Auth Screen","chromium","2026-06-06","passed","2026-06-06","","","",""
"","7903","Confirm Item Detail Page Renders Successfully","webkit","2026-06-06","passed","2026-06-06","","","",""
"","3617","Check Catalog Page Heading Text presence","firefox","2026-06-06","passed","2026-06-06","","","",""
"","7134","Sign-in attempt using: random.fake.addr@hotmail.com","firefox","2026-06-06","passed","2026-06-06","Parameterized Sign-In Outcome Verification","","",""
"","2507","Initiate Order Flow and Confirm Checkout Button Appears","firefox","2026-06-06","passed","2026-06-06","","","",""
"","6105","Sign-In Workflow for Account: random.fake.addr@hotmail.com","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5197","Ensure Signup Submit Button Renders on Auth Screen","chromium","2026-06-06","passed","2026-06-06","","","",""
"","2830","Verify Confirmation Popup Closes After Keep Shopping Click","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1433","Confirm Stored Session Keeps User Signed In","firefox","2026-06-06","passed","2026-06-06","","","",""
"","2989","Query Catalog with Nonexistent Product Name","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5463","Confirm Footer Section Renders on Help Desk Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5704","Confirm Subscription Block Visible on Basket Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","3158","Storefront Keyword Lookup: Jeans","chromium","2026-06-06","passed","2026-06-06","","","",""
"","3221","Sign-In Workflow for Account: abhis.capstone.tester@gmail.com","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5573","Ensure Password Input Renders on Auth Screen","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5416","Ensure Contact Us Hyperlink Appears on Auth Screen","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5834","Check Catalog Navigation Header Link in Auth view","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5604","Confirm Basket Page Loads and Cart Label Displays","webkit","2026-06-06","passed","2026-06-06","","","",""
"","7494","Check Stock Status inside Product Details Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5408","Confirm Home Navigation Link on Help Desk Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","1001","Confirm File Attachment Picker Renders on Help Desk Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","474","Confirm File Attachment Picker Renders on Help Desk Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","6048","Verify Basket Link Routes to Cart View Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5528","Check Subscription Footer Area Visibility inside Delivery Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","492","Verify Basket Link Routes to Cart View Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","6099","Confirm Checkout Action Button Renders After Adding Item","chromium","2026-06-06","passed","2026-06-06","","","",""
"","7465","Check Condition Label inside Product Details Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","681","Confirm Navigation Bar Renders on Help Desk Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","1378","Confirm Stored Session Keeps User Signed In","webkit","2026-06-06","passed","2026-06-06","","","",""
"","6231","Confirm Empty Basket Shows Appropriate Empty State","firefox","2026-06-06","passed","2026-06-06","","","",""
"","1225","Confirm Auth Page Document Title Matches Expected","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5851","Verify Newsletter Subscription Area on Basket Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","1322","Confirm Home Navigation Link Present on Basket Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","385","Confirm Brands Endpoint Responds with HTTP 200","chromium","2026-06-06","passed","2026-06-06","","","",""
"","2946","Check Modal Continue Shopping Action Visibility","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1695","Confirm Subscription Block Visible on Basket Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","2259","Confirm Checkout Action Button Renders After Adding Item","firefox","2026-06-06","passed","2026-06-06","","","",""
"","1162","Check Shopping Cart Breadcrumb Node Visibility","firefox","2026-06-06","passed","2026-06-06","","","",""
"","7265","Registration Attempt for: Abhishek Das","firefox","2026-06-06","passed","2026-06-06","","","",""
"","1133","Confirm Footer Section on Delivery Page inside Delivery layout","firefox","2026-06-06","passed","2026-06-06","","","",""
"","8289","Verify Item Quantity Defaults to One After Adding","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1687","Registration Attempt for: Bad Format Check","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1405","Confirm Basket Page Loads and Cart Label Displays","firefox","2026-06-06","passed","2026-06-06","","","",""
"","3491","Storefront Keyword Lookup: Saree","webkit","2026-06-06","passed","2026-06-06","","","",""
"","6441","Sign-In Workflow for Account: spaces.only@test.org","webkit","2026-06-06","passed","2026-06-06","","","",""
"","2207","Sign-In Workflow for Account: spaces.only@test.org","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5543","Check Contact Us Link Visibility in Auth Context","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5440","Confirm Subscription Area Renders on Help Desk Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","678","Complete Help Request Submission and Verify Success","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5732","Confirm Name Input Renders on Help Desk Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5581","Confirm Navigation Bar Renders on Help Desk Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","790","Registration Attempt for: Blank Name","chromium","2026-06-06","passed","2026-06-06","","","",""
"","7848","Check Basket Added Item Quantity","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5617","Confirm Page Header Renders on Basket View","webkit","2026-06-06","passed","2026-06-06","","","",""
"","7401","Initiate Order Flow and Confirm Checkout Button Appears","webkit","2026-06-06","passed","2026-06-06","","","",""
"","2010","Sign-In Workflow for Account: random.fake.addr@hotmail.com","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5773","Check Document Title For Authentication Window","firefox","2026-06-06","passed","2026-06-06","","","",""
"","855","Check URL Route For Login / Registration Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","1086","Ensure Login Section Heading Renders on Auth Screen","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5705","Confirm Message Textarea Renders on Help Desk Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","2001","Check Catalog Search Layout Frame visibility","firefox","2026-06-06","passed","2026-06-06","","","",""
"","1957","Check Condition Label inside Product Details Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5471","Check Login Form Header Banner Visibility","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5939","Confirm Basket Page URL Route Resolves Correctly","webkit","2026-06-06","passed","2026-06-06","","","",""
"","890","Ensure Signup Submit Button Renders on Auth Screen","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5389","Check Subscription Footer Area Visibility inside Auth View","chromium","2026-06-06","passed","2026-06-06","","","",""
"","2472","Confirm Navigation Menu Renders on Payment Gateway View","firefox","2026-06-06","passed","2026-06-06","","","",""
"","899","Verify Basket Icon Renders in Header Navigation","firefox","2026-06-06","passed","2026-06-06","","","",""
"","538","Check Signup Submission Button Presence on Authentication View","firefox","2026-06-06","passed","2026-06-06","","","",""
"","6076","Confirm File Attachment Picker Renders on Help Desk Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","679","Check Login Page Link Presence in Header Menu for Delivery","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5405","Check Signup Form Header Banner Visibility on login view","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5547","Check Login Button Presence on Authentication View","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5784","Confirm Top Navigation Menu Present on Basket Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5330","Ensure New User Registration Heading Renders","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5530","Confirm Subscription Area Renders on Help Desk Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","2704","Persist Authenticated Browser Session to Disk","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5737","Check Home Page Link Presence in Header Menu for Delivery","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5538","Verify Shopping Cart Heading Appears on Basket Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","6133","Verify Basket Contents Survive Page Navigation","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5735","Verify Basket Icon Renders in Header Navigation","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1830","Check Modal Continue Shopping Action Visibility","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5880","Confirm Email Input Renders on Help Desk Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","498","Sign-In Workflow for Account: Blank Email","chromium","2026-06-06","passed","2026-06-06","","","",""
"","943","Confirm Footer Section Renders on Payment Gateway View","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5549","Ensure Signup Submit Button Renders on Auth Screen","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5982","Confirm Subscription Block Visible on Basket Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1576","Confirm API Testing Hyperlink Present on Basket Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","6594","Confirm Empty Basket Shows Appropriate Empty State","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5600","Confirm Help Desk Page URL Path","webkit","2026-06-06","passed","2026-06-06","","","",""
"","2241","Check Stock Status inside Product Details Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5614","Confirm Footer Section Renders on Help Desk Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","2015","Storefront Keyword Lookup: Top","webkit","2026-06-06","passed","2026-06-06","","","",""
"","3215","Storefront Keyword Lookup: Top","firefox","2026-06-06","passed","2026-06-06","","","",""
"","888","Confirm Submit Action Button Renders on Help Desk Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5592","Confirm Get In Touch Title Renders on Help Desk","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5516","Confirm Top Menu on Profile View Presence in login view","chromium","2026-06-06","passed","2026-06-06","","","",""
"","606","Confirm Products Endpoint Responds with HTTP 200","chromium","2026-06-06","passed","2026-06-06","","","",""
"","1025","Confirm Home Navigation Link on Help Desk Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5780","Verify Basket Page Accessible Without Authentication","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5206","Confirm Email Input Renders on Help Desk Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","1097","Check Email Field Presence inside Auth Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","1042","Ensure Email Address Input Renders on Auth Screen","firefox","2026-06-06","passed","2026-06-06","","","",""
"","2521","Check Stock Status inside Product Details Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","982","Ensure Login Section Heading Renders on Auth Screen","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5683","Confirm Footer Renders on Profile View inside Auth Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5831","Verify Basket Page URL Contains Expected Path","webkit","2026-06-06","passed","2026-06-06","","","",""
"","2099","Check Home Navigation Link Click from Login Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","506","Sign-In Workflow for Account: missing.pwd.field@outlook.com","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5877","Ensure Auth Navigation Link Visible When Logged Out","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5468","Ensure Email Address Input Renders on Auth Screen","chromium","2026-06-06","passed","2026-06-06","","","",""
"","260","Confirm Products API Returns Expected HTTP Code","chromium","2026-06-06","passed","2026-06-06","","","",""
"","1929","Verify Confirmation Popup Closes After Keep Shopping Click","firefox","2026-06-06","passed","2026-06-06","","","",""
"","8231","Search for Product Then Add Result to Basket","firefox","2026-06-06","passed","2026-06-06","","","",""
"","6246","Confirm Top Navigation Menu Present on Basket Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5379","Confirm Navigation Bar Renders on Help Desk Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5974","Registration Attempt for: Duplicate Test","chromium","2026-06-06","passed","2026-06-06","","","",""
"","2897","Verify Item Disappears After Basket Removal Action","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5583","Check Document Title For Authentication Window","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5488","Check Document Title For Basket / Delivery Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5563","Confirm Email Input Renders on Help Desk Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1019","Check Subscription Footer Area Visibility inside Delivery Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","8763","Confirm Checkout Action Button Renders After Adding Item","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5618","Ensure Sign-In Button Renders on Auth Screen","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5360","Check Password Field Presence inside Auth Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1205","Ensure Sign-In Button Renders on Auth Screen","firefox","2026-06-06","passed","2026-06-06","","","",""
"","4077","Verify Item Disappears After Basket Removal Action","webkit","2026-06-06","passed","2026-06-06","","","",""
"","2257","Check Catalog Search Submission Button visibility","webkit","2026-06-06","passed","2026-06-06","","","",""
"","6435","Check Initialization and Title of App Homepage","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1248","Check Catalog Items Visibility","firefox","2026-06-06","passed","2026-06-06","","","",""
"","156","Fetch Products Catalog and Validate Payload Exists","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5472","Check Shopping Cart Breadcrumb Node Visibility","chromium","2026-06-06","passed","2026-06-06","","","",""
"","2670","Check Details Page Item Title visibility","firefox","2026-06-06","passed","2026-06-06","","","",""
"","3091","Sign-in attempt using: abhis.capstone.tester@gmail.com","firefox","2026-06-06","passed","2026-06-06","Parameterized Sign-In Outcome Verification","","",""
"","1108","Confirm Page Header Renders on Basket View","firefox","2026-06-06","passed","2026-06-06","","","",""
"","6086","Verify Fresh Basket Has No Items Listed","firefox","2026-06-06","passed","2026-06-06","","","",""
"","1683","Registration Attempt for: Bad Format Check","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5845","Confirm Page Footer Renders on Basket View","webkit","2026-06-06","passed","2026-06-06","","","",""
"","9326","Place First Listed Item into Shopping Basket","webkit","2026-06-06","passed","2026-06-06","","","",""
"","2022","Check Catalog Search Submission Button visibility","firefox","2026-06-06","passed","2026-06-06","","","",""
"","2457","Check Brand Label inside Product Details Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5425","Confirm Top Menu Bar on Delivery Page in Delivery context","chromium","2026-06-06","passed","2026-06-06","","","",""
"","6705","Verify Basket Contents Survive Page Navigation","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5387","Ensure Sign-In Button Renders on Auth Screen","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5616","Confirm Products Catalog Link Present on Basket Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","1741","Persist Authenticated Browser Session to Disk","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5759","Confirm Home Navigation Link Present on Basket Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5595","Confirm Home Navigation Link on Help Desk Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5594","Confirm Get In Touch Title Renders on Help Desk","chromium","2026-06-06","passed","2026-06-06","","","",""
"","7208","Sign-in attempt using: abhis.capstone.tester@gmail.com","webkit","2026-06-06","passed","2026-06-06","Parameterized Sign-In Outcome Verification","","",""
"","2533","Check Catalog Search Keyword Result Rendering","firefox","2026-06-06","passed","2026-06-06","","","",""
"","3710","Storefront Keyword Lookup: Polo","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5659","Verify Basket Page URL Contains Expected Path","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5200","Confirm Footer Renders on Profile View inside Auth Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5908","Verify Basket Page Shows Navigation Breadcrumb","webkit","2026-06-06","passed","2026-06-06","","","",""
"","2388","Check Catalog Search Layout Frame visibility","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1721","Check Catalog Search Input Box visibility","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5584","Check Signup Submission Button Presence on Authentication View","webkit","2026-06-06","passed","2026-06-06","","","",""
"","719","Confirm Top Menu on Profile View Presence in login view","firefox","2026-06-06","passed","2026-06-06","","","",""
"","630","Check Catalog Page Heading Text presence","chromium","2026-06-06","passed","2026-06-06","","","",""
"","826","Check Login Button Presence on Authentication View","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5392","Confirm Message Textarea Renders on Help Desk Page","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5444","Check Login Page Link Presence in Header Menu for Delivery","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5920","Check Shopping Cart Breadcrumb Node Visibility","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5446","Check Signup Submission Button Presence on Authentication View","chromium","2026-06-06","passed","2026-06-06","","","",""
"","6508","Verify Item Quantity Defaults to One After Adding","chromium","2026-06-06","passed","2026-06-06","","","",""
"","1304","Check Catalog Search Input Box visibility","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5390","Confirm Help Desk Page URL Path","chromium","2026-06-06","passed","2026-06-06","","","",""
"","6676","Check Basket Added Item Quantity","firefox","2026-06-06","passed","2026-06-06","","","",""
"","2424","Verify Added Product Appears in Basket View","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5654","Confirm Navigation Menu Renders on Payment Gateway View","chromium","2026-06-06","passed","2026-06-06","","","",""
"","7694","Check Details Page Item Title visibility","webkit","2026-06-06","passed","2026-06-06","","","",""
"","5889","Confirm Subscription Area Renders on Help Desk Page","firefox","2026-06-06","passed","2026-06-06","","","",""
"","6007","Sign-In Workflow for Account: spaces.only@test.org","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5943","Verify Shopping Cart Heading Appears on Basket Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","3329","Persist Authenticated Browser Session to Disk","firefox","2026-06-06","passed","2026-06-06","","","",""
"","1488","Check Catalog Search Submission Button visibility","chromium","2026-06-06","passed","2026-06-06","","","",""
"","588","Confirm Products API Returns Expected HTTP Code","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1302","Ensure Contact Us Hyperlink Appears on Auth Screen","firefox","2026-06-06","passed","2026-06-06","","","",""
"","5231","Ensure Password Input Renders on Auth Screen","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5619","Confirm Empty Basket Shows Appropriate Empty State","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1824","Sign-In Workflow for Account: abhis.capstone.tester@gmail.com","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5393","Check Login Page Link Presence in Header Menu for Delivery","chromium","2026-06-06","passed","2026-06-06","","","",""
"","5593","Check Catalog Navigation Header Link in Delivery Context","chromium","2026-06-06","passed","2026-06-06","","","",""
"","7881","Check Brand Label inside Product Details Page","webkit","2026-06-06","passed","2026-06-06","","","",""
"","9707","Confirm Footer Section Renders on Payment Gateway View","webkit","2026-06-06","passed","2026-06-06","","","",""
"","1645","Sign-in attempt using: abhis.capstone.tester@gmail.com","chromium","2026-06-06","passed","2026-06-06","Parameterized Sign-In Outcome Verification","","",""
"","1062","Confirm Top Menu Bar on Delivery Page in Delivery context","firefox","2026-06-06","passed","2026-06-06","","","",""
"","2547","Check Catalog Page Heading Text presence","webkit","2026-06-06","passed","2026-06-06","","","",""
"","729","Confirm Products API Returns Expected HTTP Code","firefox","2026-06-06","passed","2026-06-06","","","",""
"","7774","Check Detail Page URL Route Structure","chromium","2026-06-06","passed","2026-06-06","","","",""
"","360","Fetch Products Catalog and Validate Payload Exists","webkit","2026-06-06","passed","2026-06-06","","","",""
"","6417","Confirm Basket Page Tab Title Matches Application Name","firefox","2026-06-06","passed","2026-06-06","","","",""
"","6122","Sign-in attempt using: random.fake.addr@hotmail.com","chromium","2026-06-06","passed","2026-06-06","Parameterized Sign-In Outcome Verification","","",""
